country,model,horizon,RMSE,MAE
_,QTFT,8,1.491522036454538,1.1276386976242065
_,TFT,8,2.981167492634492,2.254753828048706
g,QTFT,8,1.2020140138117024,0.8215709328651428
g,TFT,8,1.9279255719044817,1.6722365617752075
r,QTFT,8,1.6147684626937546,1.047609806060791
r,TFT,8,3.5749995144930424,2.7431697845458984
o,QTFT,8,1.0026663162322988,0.5917866230010986
o,TFT,8,1.8868787235654145,1.6314839124679565
